"id","AREA_5000","CIUDAD_AUTO","PROVINCIA","REGION","ZONA","VIVIENDA","PERIODO","TIPO_VI","JEFEHOGAR"
"1","Urbano","Cuenca","Azuay","Sierra","1","1","Nov-13","Mediagua","NA"
"2","Urbano","Cuenca","Azuay","Sierra","1","2","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"3","Urbano","Cuenca","Azuay","Sierra","1","3","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"4","Urbano","Cuenca","Azuay","Sierra","1","4","Nov-13","Casa / villa","Jefe de hogar"
"5","Urbano","Cuenca","Azuay","Sierra","1","5","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"6","Urbano","Cuenca","Azuay","Sierra","1","6","Nov-13","Casa / villa","Jefe de hogar"
"7","Urbano","Cuenca","Azuay","Sierra","1","7","Nov-13","Departamento en casa o edificio","NA"
"8","Urbano","Cuenca","Azuay","Sierra","1","8","Nov-13","Departamento en casa o edificio","NA"
"9","Urbano","Cuenca","Azuay","Sierra","1","9","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"10","Urbano","Cuenca","Azuay","Sierra","1","11","Nov-13","Casa / villa","NA"
"11","Urbano","Cuenca","Azuay","Sierra","1","12","Nov-13","Casa / villa","NA"
"12","Urbano","Cuenca","Azuay","Sierra","2","1","Nov-13","Casa / villa","NA"
"13","Urbano","Cuenca","Azuay","Sierra","2","3","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"14","Urbano","Cuenca","Azuay","Sierra","2","4","Nov-13","Mediagua","NA"
"15","Urbano","Cuenca","Azuay","Sierra","2","5","Nov-13","Mediagua","Jefe de hogar"
"16","Urbano","Cuenca","Azuay","Sierra","2","7","Nov-13","Departamento en casa o edificio","NA"
"17","Urbano","Cuenca","Azuay","Sierra","2","8","Nov-13","Casa / villa","NA"
"18","Urbano","Cuenca","Azuay","Sierra","2","9","Nov-13","Casa / villa","NA"
"19","Urbano","Cuenca","Azuay","Sierra","2","10","Nov-13","Casa / villa","NA"
"20","Urbano","Cuenca","Azuay","Sierra","2","11","Nov-13","Casa / villa","Jefe de hogar"
"21","Urbano","Cuenca","Azuay","Sierra","2","12","Nov-13","Casa / villa","Jefe de hogar"
"22","Urbano","Cuenca","Azuay","Sierra","4","1","Nov-13","Casa / villa","NA"
"23","Urbano","Cuenca","Azuay","Sierra","4","2","Nov-13","Casa / villa","NA"
"24","Urbano","Cuenca","Azuay","Sierra","4","3","Nov-13","Casa / villa","Jefe de hogar"
"25","Urbano","Cuenca","Azuay","Sierra","4","4","Nov-13","Casa / villa","NA"
"26","Urbano","Cuenca","Azuay","Sierra","4","5","Nov-13","Casa / villa","Cónyuge"
"27","Urbano","Cuenca","Azuay","Sierra","4","6","Nov-13","Mediagua","NA"
"28","Urbano","Cuenca","Azuay","Sierra","4","7","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"29","Urbano","Cuenca","Azuay","Sierra","4","8","Nov-13","Casa / villa","Jefe de hogar"
"30","Urbano","Cuenca","Azuay","Sierra","4","9","Nov-13","Mediagua","NA"
"31","Urbano","Cuenca","Azuay","Sierra","4","10","Nov-13","Casa / villa","NA"
"32","Urbano","Cuenca","Azuay","Sierra","4","11","Nov-13","Casa / villa","Jefe de hogar"
"33","Urbano","Cuenca","Azuay","Sierra","4","12","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"34","Urbano","Cuenca","Azuay","Sierra","4","1","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"35","Urbano","Cuenca","Azuay","Sierra","4","2","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"36","Urbano","Cuenca","Azuay","Sierra","4","3","Nov-13","Casa / villa","Otros miembros del hogar"
"37","Urbano","Cuenca","Azuay","Sierra","4","4","Nov-13","Casa / villa","NA"
"38","Urbano","Cuenca","Azuay","Sierra","4","5","Nov-13","Casa / villa","Cónyuge"
"39","Urbano","Cuenca","Azuay","Sierra","4","6","Nov-13","Casa / villa","Jefe de hogar"
"40","Urbano","Cuenca","Azuay","Sierra","4","7","Nov-13","Casa / villa","NA"
"41","Urbano","Cuenca","Azuay","Sierra","4","8","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"42","Urbano","Cuenca","Azuay","Sierra","4","9","Nov-13","Casa / villa","Jefe(a) y cónyuge"
"43","Urbano","Cuenca","Azuay","Sierra","4","10","Nov-13","Casa / villa","NA"
"44","Urbano","Cuenca","Azuay","Sierra","4","11","Nov-13","Casa / villa","NA"
"45","Urbano","Cuenca","Azuay","Sierra","4","12","Nov-13","Casa / villa","NA"
"46","Urbano","Cuenca","Azuay","Sierra","6","1","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"47","Urbano","Cuenca","Azuay","Sierra","6","2","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"48","Urbano","Cuenca","Azuay","Sierra","6","3","Dec-13","Casa / villa","NA"
"49","Urbano","Cuenca","Azuay","Sierra","6","4","Dec-13","Casa / villa","NA"
"50","Urbano","Cuenca","Azuay","Sierra","6","5","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"51","Urbano","Cuenca","Azuay","Sierra","6","6","Dec-13","Casa / villa","Jefe de hogar"
"52","Urbano","Cuenca","Azuay","Sierra","6","7","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"53","Urbano","Cuenca","Azuay","Sierra","6","8","Dec-13","Casa / villa","NA"
"54","Urbano","Cuenca","Azuay","Sierra","6","9","Dec-13","Casa / villa","Jefe(a) y cónyuge"
